Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,8,,218,FrRnd,10,Dodgers,Y,Jason Kerr (minors),LHP,,,,,,,,,,,,,JC,Cerritos College (Norwalk CA)
1990,8,,219,FrRnd,11,Yankees,Y,Tim Rumer (minors),LHP,,,,,,,,,,,,,4Yr,Duke University (Durham NC)
1990,8,,225,FrRnd,17,Rangers,Y,Steve Dreyer (minors),RHP,-0.3,15,0,0,,,15,4,4,5.71,1.63,0,4Yr,University of Northern Iowa (Cedar Falls IA)
1990,8,,227,FrRnd,19,Red Sox,N,Aaron Knieper (minors),RHP,,,,,,,,,,,,,HS,Nouvel Catholic HS (Saginaw MI)
1990,8,,230,FrRnd,22,Giants,Y,Kevin McGehee (minors),RHP,-0.1,5,0,0,,,5,0,0,5.94,1.5,0,4Yr,Louisiana Tech University (Ruston LA)
1990,8,,231,FrRnd,23,Blue Jays,Y,Paul Menhart (minors),RHP,0.3,41,12,0,0,0,41,5,9,5.47,1.54,0,4Yr,Western Carolina University (Cullowhee NC)
1990,9,,236,FrRnd,1,Miami Miracle,Y,Brad Gregory (minors),P,,,,,,,,,,,,,4Yr,Florida State University (Tallahassee FL)
1990,9,,238,FrRnd,3,Tigers,Y,Greg Coppeta (minors),LHP,,,,,,,,,,,,,4Yr,University of Southern Maine (Gorham ME)
1990,9,,240,FrRnd,5,White Sox,Y,Doug McGraw (minors),RHP,,,,,,,,,,,,,HS,Duncanville HS (Duncanville TX)
1990,9,,241,FrRnd,6,Pirates,Y,Rich Robertson (minors),LHP,0.7,114,9,0,0.222,0.444,114,17,30,5.4,1.67,0,4Yr,Texas A&amp;M University (College Station TX)
1990,9,,243,FrRnd,8,Reds,N,Ken Carlyle (minors),RHP,,,,,,,,,,,,,4Yr,University of Mississippi (Oxford MS)
1990,9,,245,FrRnd,10,Dodgers,Y,Jake Botts (minors),RHP,,,,,,,,,,,,,HS,North Monterey County HS (Castroville CA)
1990,9,,248,FrRnd,13,Twins,N,Trevor Humphry (minors),RHP,,,,,,,,,,,,,HS,Delight HS (Delight AR)
1990,9,,250,FrRnd,15,Brewers,Y,Kevin McDonald (minors),RHP,,,,,,,,,,,,,4Yr,University of Louisiana at Lafayette (Lafayette LA)
1990,9,,251,FrRnd,16,Astros,Y,Jorge Correa (minors),RHP,,,,,,,,,,,,,HS,Miami Senior HS (Miami FL)
1990,9,,252,FrRnd,17,Rangers,Y,Tim Wells (minors),RHP,,,,,,,,,,,,,4Yr,Missouri State University (Springfield MO)
1990,9,,254,FrRnd,19,Red Sox,N,Mike Collett (minors),RHP,,,,,,,,,,,,,JC,Citrus College (Glendora CA)
